epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
48,6204.73,0.75759,1.44328,0.7051,1.19224,0,0.76539,0.70414,0.73956,0.58136,0.79955,0.68812,0.73468,0.55696,1.24871,2.37547,1.31403,1.71292,0,0.0298384,0.00994614,0.0298384,0.00994614,0.0298384,0.00994614,0.0298384,0.00994614
49,6332.66,0.75996,1.42055,0.70492,1.19695,0,0.74127,0.71778,0.73781,0.57874,0.74622,0.71542,0.73357,0.55562,1.23812,2.35125,1.28097,1.71975,0,0.0298315,0.00994383,0.0298315,0.00994383,0.0298315,0.00994383,0.0298315,0.00994383
50,6460.75,0.74365,1.3955,0.67538,1.16902,0,0.80019,0.70278,0.75129,0.59527,0.80043,0.70288,0.74905,0.56597,1.20559,2.31693,1.27922,1.65257,0,0.0298244,0.00994147,0.0298244,0.00994147,0.0298244,0.00994147,0.0298244,0.00994147
51,6589.57,0.74376,1.41121,0.68546,1.17716,0,0.80754,0.70233,0.74741,0.58493,0.79059,0.69973,0.73884,0.55411,1.2435,2.35103,1.28358,1.70725,0,0.0298172,0.00993906,0.0298172,0.00993906,0.0298172,0.00993906,0.0298172,0.00993906
52,6717.74,0.74085,1.40527,0.66622,1.16924,0,0.78364,0.72288,0.75544,0.59299,0.78194,0.72111,0.74331,0.56244,1.21992,2.34864,1.25885,1.6829,0,0.0298098,0.0099366,0.0298098,0.0099366,0.0298098,0.0099366,0.0298098,0.0099366
53,6845.99,0.73601,1.37184,0.65562,1.16873,0,0.76928,0.7185,0.73631,0.57783,0.77995,0.71285,0.73534,0.5501,1.22549,2.35122,1.28642,1.69451,0,0.0298023,0.0099341,0.0298023,0.0099341,0.0298023,0.0099341,0.0298023,0.0099341
54,6974.4,0.72631,1.35955,0.64851,1.15693,0,0.80308,0.69746,0.74715,0.58382,0.80421,0.70169,0.74035,0.55517,1.25041,2.37393,1.27295,1.72051,0,0.0297946,0.00993154,0.0297946,0.00993154,0.0297946,0.00993154,0.0297946,0.00993154
55,7102.46,0.72358,1.36956,0.64973,1.15994,0,0.786,0.7022,0.74014,0.58674,0.79245,0.71055,0.74708,0.56029,1.21521,2.36576,1.26184,1.69254,0,0.0297868,0.00992894,0.0297868,0.00992894,0.0297868,0.00992894,0.0297868,0.00992894
56,7230.39,0.72694,1.35965,0.64395,1.15835,0,0.78563,0.69375,0.74269,0.59226,0.79704,0.69298,0.74289,0.56271,1.22805,2.35419,1.30755,1.71436,0,0.0297789,0.00992629,0.0297789,0.00992629,0.0297789,0.00992629,0.0297789,0.00992629
57,7358.28,0.72081,1.37091,0.64792,1.15366,0,0.78473,0.70449,0.74455,0.58751,0.7912,0.71266,0.74957,0.56451,1.22379,2.40417,1.28214,1.70605,0,0.0297708,0.00992359,0.0297708,0.00992359,0.0297708,0.00992359,0.0297708,0.00992359
58,7486.25,0.69929,1.32878,0.62206,1.13458,0,0.81498,0.68633,0.75324,0.59176,0.81436,0.68944,0.75249,0.5624,1.24766,2.39124,1.3203,1.74344,0,0.0297625,0.00992085,0.0297625,0.00992085,0.0297625,0.00992085,0.0297625,0.00992085
59,7614.09,0.70713,1.35173,0.62527,1.14976,0,0.78932,0.70072,0.74892,0.59069,0.78812,0.70428,0.74309,0.5626,1.22565,2.37014,1.29325,1.70254,0,0.0297542,0.00991805,0.0297542,0.00991805,0.0297542,0.00991805,0.0297542,0.00991805
60,7741.91,0.69194,1.30997,0.60518,1.13308,0,0.80761,0.69149,0.74281,0.58087,0.76354,0.72148,0.74216,0.55255,1.27239,2.48791,1.37383,1.76594,0,0.0297456,0.00991521,0.0297456,0.00991521,0.0297456,0.00991521,0.0297456,0.00991521
61,7870.22,0.69913,1.31158,0.61721,1.14292,0,0.76136,0.71853,0.75358,0.59321,0.80464,0.69523,0.75064,0.56682,1.23129,2.46302,1.29117,1.71666,0,0.029737,0.00991232,0.029737,0.00991232,0.029737,0.00991232,0.029737,0.00991232
62,7998.59,0.69673,1.31698,0.5977,1.13815,0,0.80081,0.7085,0.7514,0.59478,0.80186,0.71335,0.74852,0.56434,1.24168,2.41851,1.28849,1.74515,0,0.0297282,0.00990938,0.0297282,0.00990938,0.0297282,0.00990938,0.0297282,0.00990938
63,8126.78,0.69114,1.31472,0.60631,1.13824,0,0.78102,0.69285,0.73949,0.58501,0.78687,0.69789,0.74103,0.55868,1.22638,2.40971,1.2883,1.72364,0,0.0297192,0.0099064,0.0297192,0.0099064,0.0297192,0.0099064,0.0297192,0.0099064
64,8254.76,0.6778,1.29122,0.59426,1.12796,0,0.79726,0.71727,0.75704,0.59152,0.80649,0.7155,0.75123,0.56463,1.22671,2.4378,1.27073,1.71676,0,0.0297101,0.00990336,0.0297101,0.00990336,0.0297101,0.00990336,0.0297101,0.00990336
65,8382.88,0.68116,1.28694,0.59401,1.12819,0,0.79538,0.69605,0.74705,0.58883,0.79739,0.69831,0.74087,0.56248,1.22691,2.37282,1.3047,1.72377,0,0.0297008,0.00990028,0.0297008,0.00990028,0.0297008,0.00990028,0.0297008,0.00990028
66,8511.01,0.66643,1.27782,0.5704,1.11727,0,0.7792,0.7087,0.74704,0.58935,0.78137,0.71061,0.74192,0.56482,1.22871,2.43488,1.32714,1.73137,0,0.0296915,0.00989715,0.0296915,0.00989715,0.0296915,0.00989715,0.0296915,0.00989715
67,8639.22,0.67164,1.28774,0.58824,1.12403,0,0.8067,0.70828,0.75405,0.5904,0.80087,0.71793,0.75077,0.56359,1.22681,2.44221,1.26802,1.73114,0,0.0296819,0.00989398,0.0296819,0.00989398,0.0296819,0.00989398,0.0296819,0.00989398
68,8767.12,0.66302,1.26338,0.56974,1.10387,0,0.79479,0.70466,0.75095,0.58779,0.79532,0.70435,0.74468,0.56221,1.22729,2.38303,1.28122,1.71228,0,0.0296723,0.00989075,0.0296723,0.00989075,0.0296723,0.00989075,0.0296723,0.00989075
69,8894.97,0.66062,1.23322,0.5609,1.10721,0,0.79876,0.71298,0.75139,0.59128,0.80041,0.71492,0.74605,0.56281,1.22709,2.46972,1.29635,1.7389,0,0.0296624,0.00988748,0.0296624,0.00988748,0.0296624,0.00988748,0.0296624,0.00988748
70,9023.15,0.65446,1.2502,0.56486,1.10487,0,0.77002,0.71726,0.75276,0.59118,0.80015,0.71238,0.74921,0.56355,1.22693,2.43861,1.2865,1.74019,0,0.0296525,0.00988416,0.0296525,0.00988416,0.0296525,0.00988416,0.0296525,0.00988416
71,9151.49,0.65422,1.24799,0.55994,1.10097,0,0.79715,0.71489,0.75216,0.59383,0.79266,0.71638,0.74774,0.5648,1.23103,2.43993,1.25749,1.73397,0,0.0296424,0.00988079,0.0296424,0.00988079,0.0296424,0.00988079,0.0296424,0.00988079
72,9279.59,0.65533,1.23999,0.55967,1.09818,0,0.80966,0.70702,0.75649,0.59353,0.81454,0.70986,0.75636,0.56924,1.24259,2.46939,1.28767,1.74042,0,0.0296321,0.00987737,0.0296321,0.00987737,0.0296321,0.00987737,0.0296321,0.00987737
73,9408.71,0.64711,1.2508,0.5519,1.09377,0,0.77743,0.70225,0.74208,0.59338,0.76172,0.72073,0.7457,0.56605,1.22881,2.47579,1.31602,1.73752,0,0.0296217,0.00987391,0.0296217,0.00987391,0.0296217,0.00987391,0.0296217,0.00987391
74,9536.74,0.63365,1.20924,0.53382,1.08601,0,0.79509,0.70335,0.7431,0.58782,0.7981,0.71264,0.74599,0.56128,1.2257,2.45357,1.28603,1.73989,0,0.0296112,0.0098704,0.0296112,0.0098704,0.0296112,0.0098704,0.0296112,0.0098704
75,9665.09,0.63411,1.19992,0.53327,1.08917,0,0.79026,0.7364,0.76468,0.59396,0.78683,0.73391,0.7573,0.5678,1.24737,2.45757,1.25813,1.76745,0,0.0296005,0.00986684,0.0296005,0.00986684,0.0296005,0.00986684,0.0296005,0.00986684
76,9793.19,0.63496,1.20726,0.53503,1.08119,0,0.78008,0.70582,0.73328,0.58058,0.81105,0.69569,0.73241,0.55512,1.23963,2.44811,1.31156,1.74903,0,0.0295897,0.00986323,0.0295897,0.00986323,0.0295897,0.00986323,0.0295897,0.00986323
77,9921.63,0.64328,1.20785,0.53307,1.09194,0,0.79947,0.69894,0.73058,0.57657,0.80752,0.70606,0.73549,0.55287,1.26068,2.53827,1.32227,1.76965,0,0.0295787,0.00985958,0.0295787,0.00985958,0.0295787,0.00985958,0.0295787,0.00985958
78,10049.9,0.63466,1.19579,0.52766,1.08283,0,0.76484,0.73063,0.74857,0.59715,0.77592,0.73367,0.752,0.56576,1.25547,2.49866,1.26966,1.77076,0,0.0295676,0.00985588,0.0295676,0.00985588,0.0295676,0.00985588,0.0295676,0.00985588
79,10179.2,0.61633,1.1737,0.5082,1.07217,0,0.7881,0.71114,0.74192,0.5917,0.80281,0.71612,0.74841,0.56862,1.25372,2.57173,1.28056,1.77493,0,0.0295564,0.00985213,0.0295564,0.00985213,0.0295564,0.00985213,0.0295564,0.00985213
80,10307.1,0.62558,1.18727,0.51996,1.07627,0,0.81831,0.68843,0.73304,0.57873,0.82447,0.69642,0.73458,0.55335,1.27227,2.55257,1.31707,1.79675,0,0.029545,0.00984833,0.029545,0.00984833,0.029545,0.00984833,0.029545,0.00984833
81,10435.2,0.6188,1.1705,0.5106,1.08025,0,0.80104,0.71873,0.75059,0.59461,0.80692,0.71887,0.74757,0.56554,1.25954,2.52591,1.28814,1.77819,0,0.0295335,0.00984449,0.0295335,0.00984449,0.0295335,0.00984449,0.0295335,0.00984449
82,10563.3,0.62847,1.19714,0.52332,1.07615,0,0.77978,0.71299,0.7454,0.59038,0.77188,0.71959,0.74138,0.56261,1.25307,2.51857,1.29185,1.7773,0,0.0295218,0.0098406,0.0295218,0.0098406,0.0295218,0.0098406,0.0295218,0.0098406
83,10691.6,0.60992,1.17079,0.50802,1.07477,0,0.78835,0.71125,0.74303,0.58773,0.79531,0.71184,0.74323,0.55811,1.2539,2.56485,1.29744,1.7615,0,0.02951,0.00983666,0.02951,0.00983666,0.02951,0.00983666,0.02951,0.00983666
84,10819.9,0.61393,1.15996,0.50526,1.06632,0,0.79019,0.70943,0.74014,0.57937,0.79239,0.71201,0.73985,0.55533,1.25874,2.5836,1.32191,1.77579,0,0.029498,0.00983267,0.029498,0.00983267,0.029498,0.00983267,0.029498,0.00983267
85,10947.9,0.61764,1.17162,0.51538,1.07522,0,0.80041,0.72408,0.74876,0.59298,0.80269,0.72776,0.74524,0.56134,1.25102,2.53988,1.27906,1.77838,0,0.0294859,0.00982864,0.0294859,0.00982864,0.0294859,0.00982864,0.0294859,0.00982864
86,11075.9,0.6108,1.16201,0.50977,1.06246,0,0.79321,0.71624,0.75558,0.59621,0.79908,0.71941,0.75113,0.56456,1.23708,2.57531,1.31913,1.75515,0,0.0294737,0.00982456,0.0294737,0.00982456,0.0294737,0.00982456,0.0294737,0.00982456
87,11203.9,0.60708,1.15209,0.5073,1.06552,0,0.77466,0.72149,0.75178,0.59447,0.79416,0.73273,0.76196,0.57346,1.2436,2.52316,1.32858,1.79157,0,0.0294613,0.00982043,0.0294613,0.00982043,0.0294613,0.00982043,0.0294613,0.00982043
88,11334,0.60368,1.15846,0.51982,1.06431,0,0.75993,0.72437,0.73813,0.58773,0.78177,0.72003,0.74396,0.5599,1.24903,2.48929,1.32676,1.77519,0,0.0294488,0.00981626,0.0294488,0.00981626,0.0294488,0.00981626,0.0294488,0.00981626
89,11461.9,0.59854,1.14114,0.50411,1.05656,0,0.78711,0.71549,0.74727,0.59003,0.79373,0.72382,0.74766,0.56735,1.28096,2.5484,1.29261,1.82555,0,0.0294361,0.00981204,0.0294361,0.00981204,0.0294361,0.00981204,0.0294361,0.00981204
90,11589.9,0.59725,1.14344,0.50394,1.06256,0,0.77267,0.72416,0.75113,0.59581,0.7795,0.7295,0.75598,0.56979,1.25303,2.54817,1.28832,1.79632,0,0.0294233,0.00980777,0.0294233,0.00980777,0.0294233,0.00980777,0.0294233,0.00980777
91,11717.8,0.59431,1.13183,0.48859,1.06447,0,0.79642,0.71897,0.75106,0.59588,0.79749,0.71894,0.74625,0.5633,1.25509,2.53346,1.32114,1.80008,0,0.0294104,0.00980345,0.0294104,0.00980345,0.0294104,0.00980345,0.0294104,0.00980345
92,11846.1,0.59124,1.11136,0.48518,1.06281,0,0.78845,0.71552,0.74956,0.59431,0.78912,0.71548,0.74705,0.56624,1.25886,2.64236,1.31995,1.82327,0,0.0293973,0.00979909,0.0293973,0.00979909,0.0293973,0.00979909,0.0293973,0.00979909
93,11974.1,0.5978,1.13757,0.48825,1.06231,0,0.79687,0.7311,0.74994,0.59071,0.80577,0.72448,0.74923,0.568,1.26657,2.53289,1.35171,1.80331,0,0.029384,0.00979468,0.029384,0.00979468,0.029384,0.00979468,0.029384,0.00979468
94,12102.3,0.59609,1.13921,0.4935,1.05763,0,0.78768,0.72475,0.74322,0.59432,0.80118,0.71759,0.74601,0.56446,1.26013,2.54369,1.32157,1.79987,0,0.0293707,0.00979023,0.0293707,0.00979023,0.0293707,0.00979023,0.0293707,0.00979023
